# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
06 5 35; Vogelsbergkreis;91359;34777;471;34306;13140;16107;1639;0;385;1434;794;62;36;95;50;0;117;35;87;25;5;0;27;6;94;6;162
06 6 11; Kassel, Stadt;139560;54669;503;54166;19708;22506;6524;0;1644;1832;549;191;85;89;104;0;81;106;105;55;9;0;42;10;176;19;331
06 6 31; Fulda;161200;73391;964;72427;16369;47287;3048;0;647;1823;1432;153;122;195;66;0;245;68;201;127;13;0;72;21;183;18;337
06 6 32; Hersfeld-Rotenburg;102328;44799;700;44099;20860;18226;1660;0;471;1086;699;103;33;129;43;0;138;46;155;28;17;0;42;6;118;8;231
06 6 33; Kassel;191255;81951;1084;80867;40421;30434;4312;0;1004;2150;838;225;70;217;79;0;135;89;117;44;14;0;79;17;210;17;395
06 6 34; Schwalm-Eder-Kreis;149633;68291;991;67300;33116;25428;3071;0;725;2392;1114;149;54;161;70;0;122;76;152;47;12;0;73;6;201;10;321
06 6 35; Waldeck-Frankenberg;128994;50571;508;50063;18936;24284;2286;0;459;2098;847;98;107;124;76;0;123;42;117;54;14;0;44;6;145;11;192
06 6 36; Werra-Meißner-Kreis;90998;41143;638;40505;19018;16112;1998;0;435;1278;702;105;39;101;63;0;70;78;90;22;7;0;30;9;129;9;210
906; Hessen;4298090;1809593;22424;1787169;616282;844604;142359;0;29224;69694;35735;5207;2763;4622;2201;0;4819;2416;5524;1679;525;0;1732;379;5816;556;11032

07 1 11; Koblenz, Stadt;83175;44967;777;44190;14498;23345;2850;0;547;1454;360;183;140;100;54;0;49;35;95;37;8;0;31;15;116;11;262
07 1 31; Ahrweiler;96039;61561;1346;60215;15384;36608;3068;0;377;2414;601;250;337;203;60;0;44;65;90;70;12;0;69;20;139;15;389
07 1 32; Altenkirchen (Westerwald);102000;64099;1439;62660;22527;32805;2497;0;408;2105;587;189;97;230;65;0;325;53;111;77;3;0;61;16;144;16;344
07 1 33; Bad Kreuznach;119268;76821;2075;74746;29729;33111;4126;0;572;3615;1180;315;141;324;95;0;157;78;284;70;22;0;78;9;224;25;591
07 1 34; Birkenfeld;70743;42458;1186;41272;17252;18178;1616;0;326;1888;712;160;63;186;65;0;83;48;123;28;7;0;60;3;161;11;302
07 1 35; Cochem-Zell;51569;38245;1434;36811;8988;24321;1169;0;144;1038;317;90;37;132;32;0;46;27;45;54;3;0;56;5;84;8;215
