# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 6. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 2004)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;PDS;FDP;REP;Die Tierschutzpartei;GRAUE;NPD;DIE FRAUEN;ödp;PBC;CM;BP;BüSo;ZENTRUM;FAMILIE;Deutschland;Unabhängige Kandidaten;AUFBRUCH;DKP;DP;PSG
01 0 61;Steinburg;105279;37544;794;36750;18874;9079;0;3804;649;2115;188;402;410;235;126;42;112;50;0;23;23;238;120;43;33;45;110;29
01 0 62;Stormarn;175106;69438;1121;68317;31195;16846;0;10368;1074;4775;298;817;1036;282;193;110;164;82;0;49;47;347;221;107;67;70;137;32
901;Schleswig-Holstein;2187312;796239;14158;782081;367387;198985;0;103148;13783;49400;3961;9193;11865;4208;2562;1136;2150;924;0;522;536;4963;2391;1245;747;941;1508;526

02 0 00;Hamburg, Freie und Hansestadt;1227905;428863;7834;421029;154690;106325;0;103454;11872;22991;1589;3237;5640;1831;1351;677;1027;255;0;315;172;1534;1217;613;395;900;684;260
902;Hamburg;1227905;428863;7834;421029;154690;106325;0;103454;11872;22991;1589;3237;5640;1831;1351;677;1027;255;0;315;172;1534;1217;613;395;900;684;260

03 1 01;Braunschweig, Stadt;187660;78326;935;77391;29003;23233;0;12517;2249;5146;859;966;857;471;297;130;201;88;0;48;51;463;283;119;68;136;151;55
03 1 02;Salzgitter, Stadt;80901;29865;586;29279;11664;10052;0;1868;638;1396;1845;383;399;167;128;29;103;50;0;15;40;175;136;29;26;26;93;17
03 1 03;Wolfsburg, Stadt;92024;33908;549;33359;14758;10411;0;3166;708;1787;281;306;531;461;117;52;94;58;0;17;15;208;151;49;33;28;106;22
03 1 51;Gifhorn;130857;59441;1068;58373;28818;16648;0;5238;882;2796;510;593;544;416;211;71;470;67;0;31;61;443;188;104;54;42;140;46
